ds,y
2020-01-02,72.9604721069336
2020-01-03,72.25112915039062
2020-01-04,72.25112915039062
2020-01-05,72.25112915039062
2020-01-06,72.82685852050781
2020-01-07,72.48432922363281
2020-01-08,73.65033721923828
2020-01-09,75.21475219726562
2020-01-10,75.38478088378906
2020-01-11,75.38478088378906
2020-01-12,75.38478088378906
2020-01-13,76.9953384399414
2020-01-14,75.95565032958984
2020-01-15,75.630126953125
2020-01-16,76.57750701904297
2020-01-17,77.4253158569336
2020-01-18,77.4253158569336
2020-01-19,77.4253158569336
2020-01-20,77.4253158569336
2020-01-21,76.90059661865234
2020-01-22,77.17510223388672
2020-01-23,77.5467758178711
2020-01-24,77.32328796386719
2020-01-25,77.32328796386719
2020-01-26,77.32328796386719
2020-01-27,75.04956817626953
2020-01-28,77.17266082763672
2020-01-29,78.78807830810547
2020-01-30,78.67388916015625
2020-01-31,75.18560791015625
2020-02-01,75.18560791015625
2020-02-02,75.18560791015625
2020-02-03,74.97911834716797
2020-02-04,77.45445251464844
2020-02-05,78.08602142333984
2020-02-06,78.9994125366211
2020-02-07,77.92559814453125
2020-02-08,77.92559814453125
2020-02-09,77.92559814453125
2020-02-10,78.29570007324219
2020-02-11,77.82331085205078
2020-02-12,79.67144775390625
2020-02-13,79.1041030883789
2020-02-14,79.12358093261719
2020-02-15,79.12358093261719
2020-02-16,79.12358093261719
2020-02-17,79.12358093261719
2020-02-18,77.67479705810547
2020-02-19,78.79974365234375
2020-02-20,77.9913330078125
2020-02-21,76.22598266601562
2020-02-22,76.22598266601562
2020-02-23,76.22598266601562
2020-02-24,72.60523986816406
2020-02-25,70.14591979980469
2020-02-26,71.25871276855469
2020-02-27,66.60065460205078
2020-02-28,66.56169128417969
2020-02-29,66.56169128417969
2020-03-01,66.56169128417969
2020-03-02,72.75862121582031
2020-03-03,70.4478759765625
2020-03-04,73.71556091308594
2020-03-05,71.32447052001953
2020-03-06,70.37726593017578
2020-03-07,70.37726593017578
2020-03-08,70.37726593017578
2020-03-09,64.81097412109375
2020-03-10,69.47877502441406
2020-03-11,67.06574249267578
2020-03-12,60.44268035888672
2020-03-13,67.68421173095703
2020-03-14,67.68421173095703
2020-03-15,67.68421173095703
2020-03-16,58.976837158203125
2020-03-17,61.5700569152832
2020-03-18,60.062828063964844
2020-03-19,59.602622985839844
2020-03-20,55.8187141418457
2020-03-21,55.8187141418457
2020-03-22,55.8187141418457
2020-03-23,54.63288879394531
2020-03-24,60.11396408081055
2020-03-25,59.782814025878906
2020-03-26,62.92877197265625
2020-03-27,60.3233642578125
2020-03-28,60.3233642578125
2020-03-29,60.3233642578125
2020-03-30,62.04487991333008
2020-03-31,61.91825485229492
2020-04-01,58.6602897644043
2020-04-02,59.63914108276367
2020-04-03,58.78205108642578
2020-04-04,58.78205108642578
2020-04-05,58.78205108642578
2020-04-06,63.910037994384766
2020-04-07,63.16981506347656
2020-04-08,64.78660583496094
2020-04-09,65.25411987304688
2020-04-10,65.25411987304688
2020-04-11,65.25411987304688
2020-04-12,65.25411987304688
2020-04-13,66.53491973876953
2020-04-14,69.8951416015625
2020-04-15,69.2571792602539
2020-04-16,69.8074722290039
2020-04-17,68.86028289794922
2020-04-18,68.86028289794922
2020-04-19,68.86028289794922
2020-04-20,67.43096160888672
2020-04-21,65.34666442871094
2020-04-22,67.22886657714844
2020-04-23,66.96833038330078
2020-04-24,68.90167999267578
2020-04-25,68.90167999267578
2020-04-26,68.90167999267578
2020-04-27,68.95038604736328
2020-04-28,67.83274841308594
2020-04-29,70.06071472167969
2020-04-30,71.53872680664062
2020-05-01,70.38700866699219
2020-05-02,70.38700866699219
2020-05-03,70.38700866699219
2020-05-04,71.38289642333984
2020-05-05,72.45427703857422
2020-05-06,73.20179748535156
2020-05-07,73.95906066894531
2020-05-08,75.71942138671875
2020-05-09,75.71942138671875
2020-05-10,75.71942138671875
2020-05-11,76.91089630126953
2020-05-12,76.03192138671875
2020-05-13,75.11390686035156
2020-05-14,75.57536315917969
2020-05-15,75.1285629272461
2020-05-16,75.1285629272461
2020-05-17,75.1285629272461
2020-05-18,76.89867401123047
2020-05-19,76.45433044433594
2020-05-20,77.94121551513672
2020-05-21,77.36013793945312
2020-05-22,77.85819244384766
2020-05-23,77.85819244384766
2020-05-24,77.85819244384766
2020-05-25,77.85819244384766
2020-05-26,77.33084106445312
2020-05-27,77.66775512695312
2020-05-28,77.70193481445312
2020-05-29,77.62626647949219
2020-05-30,77.62626647949219
2020-05-31,77.62626647949219
2020-06-01,78.58088684082031
2020-06-02,78.94468688964844
2020-06-03,79.37926483154297
2020-06-04,78.69564819335938
2020-06-05,80.9369888305664
2020-06-06,80.9369888305664
2020-06-07,80.9369888305664
2020-06-08,81.41551971435547
2020-06-09,83.98646545410156
2020-06-10,86.147216796875
2020-06-11,82.01126861572266
2020-06-12,82.71929931640625
2020-06-13,82.71929931640625
2020-06-14,82.71929931640625
2020-06-15,83.74230194091797
2020-06-16,85.961669921875
2020-06-17,85.8420181274414
2020-06-18,85.8761978149414
2020-06-19,85.38545227050781
2020-06-20,85.38545227050781
2020-06-21,85.38545227050781
2020-06-22,87.6194839477539
2020-06-23,89.48969268798828
2020-06-24,87.90999603271484
2020-06-25,89.07708740234375
2020-06-26,86.3401107788086
2020-06-27,86.3401107788086
2020-06-28,86.3401107788086
2020-06-29,88.32997131347656
2020-06-30,89.06731414794922
2020-07-01,88.89881896972656
2020-07-02,88.89881896972656
2020-07-03,88.89881896972656
2020-07-04,88.89881896972656
2020-07-05,88.89881896972656
